Id;score;at;content;content_en
1;5;15/09/2025 14:19;belanja hemat,puas anti ribed.penjualnya amanah,kurirnya cepat;Economical shopping, satisfied, anti-ribbed. The seller is trustworthy, the courier is fast
2;5;15/09/2025 14:19;Bagus;Good
3;5;15/09/2025 14:19;🤩;🤩
4;5;15/09/2025 14:18;bagus;Good
5;5;15/09/2025 14:18;suka sama fitur gratongnya dan respon admin Shopee dan tokonya gd mslh ramah dan responsif makasih Shopee;I like the gratong feature and the response of the Shopee admin and the shop, but it's friendly and responsive, thank you Shopee
6;5;15/09/2025 14:18;gooooodddd;gooooodddd
7;5;15/09/2025 14:17;shopee luar biasa ,lancar dan tambah ngetop ... sukses selalu buat shopee;Shopee is extraordinary, smooth and increasingly popular... always success for Shopee
8;5;15/09/2025 14:15;sangat membantu bagi saya yang nggak suka ribet;very helpful for me who doesn't like complicated things
9;5;15/09/2025 14:15;sayangnya s paylater saya tidak bisa diaktifkan;unfortunately my s paylater can't be activated
10;5;15/09/2025 14:14;terimakasi shopee;thank you shopee
11;5;15/09/2025 14:14;terjangkau dan barang sesuai harga;Affordable and goods according to price
12;5;15/09/2025 14:14;Belanja di shopee itu murah meriah,gratis ongkir lagi,gak kayak yg lainnya,Gratis ongkir harus ada syarat2 nya;Shopping at Shopee is cheap, free shipping, unlike others, free shipping must have conditions
13;2;15/09/2025 14:14;Kualitas kurir makin hari makin ampas, 3 hari 3 kali pesanan saya di batalkan, dengan tuduhan alamat tidak lengkap, tolong kalau memang gabisa ngantar gausah di pickup paket saya;The quality of the courier is getting worse day by day, 3 days and 3 times my order has been cancelled, with accusations that the address is incomplete, please, if you can't deliver, don't pick up my package
14;5;15/09/2025 14:14;wow sangat bagus Shopee sekarang.;wow very good Shopee now.
15;5;15/09/2025 14:13;solusi belanja on line terlengkap;the most complete online shopping solution
16;5;15/09/2025 14:12;membantu sekali;very helpful
17;5;15/09/2025 14:12;belanja di shopee memuaskan sukses buat shopee dan seller nya.;Shopping on Shopee is satisfying and successful for Shopee and its sellers.
18;5;15/09/2025 14:12;Bagus;Good
19;5;15/09/2025 14:11;barang yg di pesan sangat baik dan sesuai;the items ordered are very good and suitable
20;5;15/09/2025 14:11;gast respon barang cpt sampe alamat;fast response, goods arrived quickly at address
21;5;15/09/2025 14:10;oke thanks shopee;oke thanks shopee
22;1;15/09/2025 14:10;konsumen kecewa, pengembalian barang selalu ditolak, ini sangat merugikan konsumen 😡;Consumers are disappointed, returns are always rejected, this is very detrimental to consumers 😡
23;5;15/09/2025 14:10;sejauh ini masih sangat membantu sekali .;So far it's still very helpful.
24;1;15/09/2025 14:10;sangat tidak suka karena pas mau download apk lain yg muncul apak ini;I really don't like it because when I want to download another apk this is what appears
25;5;15/09/2025 14:09;Selama dengan Shopee, saya merasa apa saja kebutuhan saya, rasanya seperti klik tombol saja... tidak perlu repot... sambil santai... ehhh... sampai deh...;While with Shopee, I feel whatever my needs are, it feels like just clicking a button... no need to bother... while relaxing... ehhh... that's it...
26;5;15/09/2025 14:06;sangat mudah melakukan transaksi dan pemesanan dlii trimaksih;Very easy to make transactions and orders, thanks
27;5;15/09/2025 14:06;mantap;solid
28;5;15/09/2025 14:05;pengiriman cepat dan toko amanah;Fast delivery and trustworthy shop
29;2;15/09/2025 14:04;aku suka shopee;I like shopee
30;4;15/09/2025 14:04;ocee loh;ocee loh
31;5;15/09/2025 14:03;mantaap;temperature
32;5;15/09/2025 14:00;aplikasi nya bagus;the application is good
33;5;15/09/2025 14:00;saya senang sekali blanja di Shopee,,,;I really enjoy shopping at Shopee...
34;5;15/09/2025 14:00;ok;ok
35;5;15/09/2025 13:59;gak ada obat promo nya💲✔️😁;There is no promo medicine💲✔️😁
36;5;15/09/2025 13:58;bagus;Good
37;5;15/09/2025 13:56;Alhamdulillah;Alhamdulillah
38;5;15/09/2025 13:56;bagus;Good
39;5;15/09/2025 13:56;sangat bermanfaat,;very helpful,
40;5;15/09/2025 13:56;keren;keren
41;2;15/09/2025 13:55;bikin game ngga masuk , sistemnya emang d atur buat ngga bisa menangin koin mending fokus sama penjualan online;It's not possible to make games, the system is set up so you can't win coins, it's better to focus on online sales
42;5;15/09/2025 13:55;bagus sendal nya sesuay pesanan terimakasih soh fee,;Nice sandals, just as ordered, thank you soh fee,
43;2;15/09/2025 13:54;ngak bisa pake cod sekarang MH;Can't use COD now MH
44;5;15/09/2025 13:54;keren semua barang ada;cool, everything is there
45;1;15/09/2025 13:53;KENAPA PENGIRIMAN SHOPEE SANGAT LAMBAT! PESANAN SAYA DITAHAN DI SHOPEE XPRES PASAR MINGGU SUDAH 3 HARI GK DIKIRIM KE LOKASI SAYA!;WHY IS SHOPEE DELIVERY SO SLOW!MY ORDER WAS ON HOLD AT SHOPEE XPRES PASAR SUNDAY FOR 3 DAYS IT WASN'T DELIVERED TO MY LOCATION!
46;5;15/09/2025 13:53;sangat membantu.;very helpful.
47;5;15/09/2025 13:52;langganan olshop keluarga;family online shop subscription
48;5;15/09/2025 13:51;Aplikasi terparah yang saya install, buruk koneksi dibanding market place yg lainnya. Kekuatan sinyal sama buat akses dah kayak siput.;The worst application I installed, poor connection compared to other market places.The signal strength is the same for access like a snail.
49;1;15/09/2025 13:51;iklannya terkesan memaksa untuk mendownload;The ad seems to force you to download
50;5;15/09/2025 13:50;ok sip;ok sip
51;5;15/09/2025 13:49;semakin menarik dan sangat puas belanja di shoppe dari fitur pengembalian barang sangat mudah pokoknya the best shoppe,sayang nya pengembalian dana tidak sesuai yg saya inginkan;It's even more interesting and very satisfying shopping at Shopee because the return feature is very easy, basically The Best Shoppe, unfortunately the refund is not what I want
52;5;15/09/2025 13:49;mantap;solid
53;4;15/09/2025 13:48;mantap;solid
54;5;15/09/2025 13:47;baguss;nice
55;5;15/09/2025 13:45;bagus sekali;very good
56;5;15/09/2025 13:44;is ok;is ok
57;4;15/09/2025 13:44;Lemot;Slow
58;5;15/09/2025 13:42;Makin lemot aja sih Aplikasi nya, padahal Hp baru Ram gede, tapi lemot bngt ya, tolong di perbaikin dong Aplikasi nya;The application is getting slower and slower, even though the new phone has big RAM, but it is very slow, please fix the application
59;5;15/09/2025 13:38;bagusss banget. aku bisa belanja tanpa keluar rumah jadi enak deh barang nya juga bagus banget;very good.I can shop without leaving the house so it's nice and the goods are really good
60;3;15/09/2025 13:38;diskon Shopee food nya kurang dapat diskon 90 persen sisa beberapa jam doang susah banget kalau duit pas pasan tapi diskon nya udah pada habis pas gak bisa keluar tolong banyakin diskon nya lagi ya Shopee Indonesia;The Shopee food discount is less than getting a 90 percent discount. A few hours left, but it's really hard if you're short on money, but the discount has run out when you can't get out, please add more discounts, Shopee Indonesia
61;5;15/09/2025 13:38;membantu apa yang kita perlukan dan menampilkan semua segi;help what we need and present all sides
62;4;15/09/2025 13:36;Aplikasi yang sangat membantu, produk di Aplikasi bagus2, Dan ada satu kekurangannya, mohon di kasih tanggal/Waktu Upload Di Galeri Pembeli, Trimakasih.;Very helpful application, the products in the application are good, and there is one drawback, please give the upload date/time in the buyer's gallery, thank you.
63;5;15/09/2025 13:36;recommend;recommend
64;5;15/09/2025 13:34;ter percaya;trusted
65;5;15/09/2025 13:33;banyak yang diskon dan murah;many are discounted and cheap
66;4;15/09/2025 13:33;mantap mamuaskan;really satisfying
67;5;15/09/2025 13:29;Selalu puas dengan shopee dan banyak membantu;Always satisfied with shopee and helps a lot
68;5;15/09/2025 13:29;sangat mudah sangat bisa dipercaya;very easy very trustworthy
